timestamp,open,high,low,close,volume
2018-06-12,206.9500,209.8000,206.9000,209.0800,15875524
2018-06-11,206.5000,207.6000,205.0100,205.7000,12061370
2018-06-08,201.1100,206.2300,200.4300,205.0700,17525218
2018-06-07,207.4600,209.0000,200.8800,203.6200,26747768
2018-06-06,209.8600,210.4600,207.2893,208.3000,13800519
2018-06-05,209.9500,211.7000,207.1300,208.3700,17787704
2018-06-04,205.1200,209.7500,204.7300,208.9500,19357012
2018-06-01,199.5000,204.9900,199.4500,204.3400,23131917
2018-05-31,198.0000,199.4800,196.8500,198.0100,17982536
2018-05-30,199.7000,200.5400,197.5000,197.9800,13930634
2018-05-29,197.9400,202.2800,197.0000,198.0000,18768743
2018-05-25,197.5700,201.5000,197.2100,199.2000,21269952
2018-05-24,198.1200,199.7200,195.6974,197.3700,18527694
2018-05-23,193.8800,196.9000,192.8011,196.8000,12807376
2018-05-22,198.3000,198.6274,195.7000,195.8700,9700121
2018-05-21,197.8000,199.7900,196.4000,197.6400,13830526
2018-05-18,196.4300,197.7800,194.7200,195.0000,14242305
2018-05-17,196.0000,198.4300,195.5700,196.0200,13470547
2018-05-16,196.7500,199.7500,196.3000,198.1100,12887456
2018-05-15,195.2300,196.7800,193.8600,196.6100,12694857
2018-05-14,195.9000,200.0000,195.8700,198.6400,17627130
2018-05-11,196.4000,196.4600,193.3800,194.3600,12741110
2018-05-10,196.3000,199.7700,195.1600,195.9600,21295038
2018-05-09,195.8400,197.3800,194.5000,195.4300,13780627
2018-05-08,194.2000,197.3400,193.0100,196.3100,21856348
2018-05-07,190.4100,196.6000,190.3000,195.3500,29862192
2018-05-04,180.4000,190.6000,178.6200,188.8900,57788340
2018-05-03,183.5000,183.5900,175.7700,182.4500,26257648
2018-05-02,180.8000,184.2640,180.1100,181.4500,20681841
2018-05-01,177.5800,180.3199,177.4400,179.5000,10787699
2018-04-30,178.0900,180.0400,177.0500,178.5400,14653977
2018-04-27,177.1100,178.2000,174.0100,177.1600,15062517
2018-04-26,173.2500,174.3600,172.0500,173.9000,13398037
2018-04-25,170.5200,171.3000,166.6400,170.2200,17122105
2018-04-24,177.6300,178.0000,170.6800,173.0900,14567517
2018-04-23,178.6300,179.3200,174.7100,175.5700,12033892
2018-04-20,179.3600,181.3900,177.5300,179.1100,14473079
2018-04-19,183.2600,183.6300,179.5200,181.3900,11988977
2018-04-18,178.9000,182.8800,177.6400,182.6800,16972731
2018-04-17,174.8300,179.3400,174.8300,178.7000,16285805
2018-04-16,172.0100,174.7900,171.0100,174.7000,9876207
2018-04-13,176.7200,176.8000,171.0700,172.0400,13526198
2018-04-12,175.9300,177.9000,174.5600,175.9200,11133871
2018-04-11,176.4800,178.1600,174.7400,175.3600,10170536
2018-04-10,175.1000,177.8800,173.8500,177.1000,20596194
2018-04-09,169.7500,172.7200,168.6100,169.8700,14717312
2018-04-06,169.8400,172.2700,166.4000,167.5200,18209969
2018-04-05,175.4800,176.5600,171.1700,172.5700,18250947
2018-04-04,166.8800,172.4099,166.1300,172.0700,24573593
2018-04-03,179.2600,179.5800,173.0000,174.6700,19975067
2018-04-02,182.8100,183.5100,175.7500,177.6100,16028747
2018-03-29,180.8800,185.1300,178.6200,183.5400,16378866
